S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,C R PATIL,Bharatiya Janata Party,1023366,7699,1031065,77.05
2,NAISHADHBHAI BHUPATBHAI DESAI,Indian National Congress,254567,2947,257514,19.24
3,MALKHAN RAMKISHOR VARMA,Bahujan Samaj Party,8076,57,8133,0.61
4,KIRIT L. SURATI,Independent,4190,21,4211,0.31
5,RAJU VARDE,Independent,3139,45,3184,0.24
6,RAMZAN MANSURI (SENIOR JOURNALIST),Log Party,2652,1,2653,0.2
7,KADIR MAHEBOOB SAIYED,Social Democratic Party Of India,2527,11,2538,0.19
8,SHEKH MOHMMAD NISHAR (MUNNABHAI GARAGE),Independent,1481,2,1483,0.11
9,DR. KANUBHAI KHADADIYA,Socialist Unity Centre Of India (COMMUNIST),1470,15,1485,0.11
10,SUMANBEN KHUSHWA (HANSIKA RAJPUT),Sardar Vallabhbhai Patel Party,1397,29,1426,0.11
11,ADVOCATE NAVINKUMAR SHANKERBHAI PATEL,Independent,1091,4,1095,0.08
12,MOHAMMAD HANIF SHAH,Garib Kalyan Party,1089,8,1097,0.08
13,CHANDANSINGH SHIVBADANSINGH THAKUR,Independent,1070,17,1087,0.08
14,KAZI AYAZ HUSNUDDIN,Independent,775,8,783,0.06
15,NOTA,None of the Above,19653,809,20462,1.53
