S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,M.K. VISHNUPRASAD,Indian National Congress,450401,4652,455053,44.11
2,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,267707,1450,269157,26.09
3,THANKAR BACHAN,Pattali Makkal Katchi,202372,2872,205244,19.9
4,V. MANIVASAGAN,Naam Tamilar Katchi,56863,561,57424,5.57
5,S. ARIVUDAINAMBI,Anti Corruption Dynamic Party,6479,21,6500,0.63
6,A. BALAJI,Independent,5440,10,5450,0.53
7,V.THANIGAISELVAN,Bahujan Samaj Party,3917,54,3971,0.38
8,K. MAYAKRISHNAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,3696,6,3702,0.36
9,SU.VA. DHATSHANAMOORTHY,Independent,3414,5,3419,0.33
10,S. RAMALINGAM,Independent,3208,8,3216,0.31
11,G. PICHAMUTHU,Independent,2186,8,2194,0.21
12,R. ANANDHI,Independent,1677,19,1696,0.16
13,S. CHAKKARAVARTHY,Independent,1484,4,1488,0.14
14,R. SRINIVASAN,Independent,1352,11,1363,0.13
15,V. DAKSHANAAMURTHY,Independent,1276,10,1286,0.12
16,THANGA MURUGAN,Desiya Makkal Sakthi Katchi,1030,6,1036,0.1
17,R. RAJASEKAR,Independent,701,11,712,0.07
18,R. PRAKASH,Independent,694,6,700,0.07
19,S. RAJAMOHAN,Independent,659,1,660,0.06
20,NOTA,None of the Above,7084,208,7292,0.71
