S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SHANKAR LALWANI,Bharatiya Janata Party,1223746,3005,1226751,78.54
2,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,51486,173,51659,3.31
3,PAWAN KUMAR,Akhil Bhartiya Parivar Party,15182,28,15210,0.97
4,ABHAY JAIN,Independent,8379,13,8392,0.54
5,LAVISH DILIP KHANDELWAL,Independent,8231,7,8238,0.53
6,COMRADE AJEET SINGH,Socialist Unity Centre Of India (COMMUNIST),7148,31,7179,0.46
7,AYAZ ALI,Independent,7074,22,7096,0.45
8,ENG. ARJUN PARIHAR,Independent,3823,8,3831,0.25
9,BASANT GEHLOT,Jan Sangh Party,3663,13,3676,0.24
10,RAVI SIRWAIYA,Independent,2615,6,2621,0.17
11,MUDIT CHAURASIA,Independent,2601,8,2609,0.17
12,PARMANAND TOLANI,Independent,2399,4,2403,0.15
13,DESH BHAKT ANKIT GUPTA,Independent,1957,12,1969,0.13
14,ADVOCATE PANKAJ GUPTE,Independent,1652,8,1660,0.11
15,NOTA,None of the Above,218355,319,218674,14.0
