S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GIRIDHARI YADAV,Janata Dal (United),505674,1004,506678,49.96
2,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,401567,1267,402834,39.72
3,NARESH YADAV,Independent,14936,3,14939,1.47
4,JAY PRAKASH YADAV,Rashtriya Jansambhavna Party,12254,23,12277,1.21
5,AMRIT TANTI,Bhartiya Dalit Party,9615,55,9670,0.9500000000000001
6,NARESH KUMAR PRIYADARSHI,Independent,8103,22,8125,0.8
7,GANESH KUMAR KUSHAWAHA,Samata Party,7627,18,7645,0.75
8,UTTAM KUMAR SINGH,Aam Janta Party Rashtriya,6874,37,6911,0.68
9,KAVINDRA PANDIT,Socialist Unity Centre Of India (COMMUNIST),5226,20,5246,0.52
10,UMAKANT YADAV,Independent,4932,9,4941,0.49
11,NOTA,None of the Above,34808,81,34889,3.44
