S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR.K.SUDHAKAR,Bharatiya Janata Party,819588,3031,822619,53.74
2,M.S. RAKSHA RAMAIAH,Indian National Congress,657489,1670,659159,43.06
3,MUNIVENKATAPPA M.P,Communist Party of India (Marxist),4546,11,4557,0.30000000000000004
4,MAHADEV. P,Bahujan Samaj Party,4428,12,4440,0.29
5,RAJANNA,Independent,3759,5,3764,0.25
6,RAJA REDDY,Independent,3377,4,3381,0.22
7,KALAVATHI. N,Socialist Unity Centre Of India (COMMUNIST),2736,8,2744,0.18
8,VALASAPALLI UTAPPA,Independent,2152,10,2162,0.14
9,VENKATESHMURTHY.V,Uttama Prajaakeeya Party,2015,5,2020,0.13
10,D. SUDHAKARA,Independent,1678,11,1689,0.11
11,SUDHAKAR. N,Independent,1581,10,1591,0.1
12,G N RAVI,Independent,1462,3,1465,0.1
13,BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,1363,4,1367,0.09
14,CHANDRASHEKAR. H.C,Independent,1270,12,1282,0.08
15,MOHITH NARASIMHAMURTHY,Independent,1222,7,1229,0.08
16,V.N. NARASIMHAMURTHY VADIGERE,Independent,1212,6,1218,0.08
17,G.N. VENKATESH B.A.L.L.B,Independent,1199,8,1207,0.08
18,DEVARAJ CORONA WARRIOR,Independent,1168,9,1177,0.08
19,G SUBRAMANI SHETTY,Karnataka Rashtra Samithi,869,3,872,0.06
20,DR. M.R. RANGANATHA,Independent,850,7,857,0.06
21,NAGESH. S,Digvijaya Bharatha Party,843,7,850,0.06
22,T.R. NARAYANA RAO,Indian Labour Party (Ambedkar Phule),757,5,762,0.05
23,"C.V. LOKESH GOWDA, B.E",Independent,691,10,701,0.05
24,D. CHINNAPPA,Independent,616,3,619,0.04
25,SANDESH.G,Independent,588,6,594,0.04
26,NASURULLA,Independent,579,4,583,0.04
27,K. VENKATESH,Independent,469,5,474,0.03
28,T VENKATA SIVUDU,Independent,434,6,440,0.03
29,G N. KODANDAREDDY,Independent,399,2,401,0.03
30,NOTA,None of the Above,6545,51,6596,0.43
