S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),451095,1501,452596,47.4
2,RAVINDRA DATTARAM WAIKAR,Shiv Sena,451094,1550,452644,47.4
3,PARMESHWAR ASHOK RANSHUR,Vanchit Bahujan Aaghadi,10001,51,10052,1.05
4,RAJESH RAMKISAN MALLAH,Bahujan Samaj Party,4790,22,4812,0.5
5,SAMEER MORE,Independent,3171,2,3173,0.33
6,SUNIL BHIMA CHAVAN,Independent,1999,3,2002,0.21
7,BALA VENKATESH VINAYAK NADAR,Aapki Apni Party (Peoples),1756,7,1763,0.18
8,ARORA SURINDER MOHAN,Bharat Jan Aadhar Party,1667,8,1675,0.18
9,ROHAN SATONE,Independent,1476,3,1479,0.15
10,ADV. SANJEEVKUMAR APPARAV KALKORI,Independent,1184,13,1197,0.13
11,ADV. LATA PANDURANG SHINDE,Independent,1152,2,1154,0.12
12,MANOJ SHRAVAN NAYAK,Right to Recall Party,1132,17,1149,0.12
13,HRUDA DHANANJAY SHINDE,Independent,1066,12,1078,0.11
14,BHARAT KHIMJI SHAH,Hindu Samaj Party,932,5,937,0.1
15,SUSHMA DAYANAND MEHTA,Independent,875,7,882,0.09
16,ADVOCATE KAPIL KANTILAL SONI,Independent,776,4,780,0.08
17,SARIKA DABRAL,India Greens Party,760,8,768,0.08
18,GAJANAN TUKARAM SONKAMBLE,Independent,496,5,501,0.05
19,ADV MITESH VARSHNEY,Bhim Sena,492,5,497,0.05
20,HARISHANKAR YADAV,Samaj Vikas Kranti Party,398,7,405,0.04
21,SANTOSH MANIK RAYBAN,Independent,234,-,234,0.02
22,NOTA,None of the Above,15036,125,15161,1.5899999999999999
