S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SUDHA R,Indian National Congress,516534,1925,518459,47.67
2,BABU P,All India Anna Dravida Munnetra Kazhagam,246083,1193,247276,22.73
3,STALIN M K,Pattali Makkal Katchi,165770,667,166437,15.3
4,KALIYAMMAL P,Naam Tamilar Katchi,127276,366,127642,11.73
5,KARTHICK A,Samaniya Makkal Nala Katchi,3888,3,3891,0.36
6,ILANCHEZHIAN T,Bahujan Samaj Party,2878,20,2898,0.27
7,BABU S,Independent,1832,6,1838,0.17
8,MANIMARAN T,Independent,1710,1,1711,0.16
9,NAGARAJAN K,Independent,1342,5,1347,0.12
10,SILAMBARASAN D,Independent,1255,1,1256,0.12
11,JAFARULLAH KHAN F,Independent,1230,6,1236,0.11
12,PANDIYARAJAN S,Independent,1169,5,1174,0.11
13,TIMOTHY T,Independent,1165,10,1175,0.11
14,VEDARETHINAM S,Anna MGR Dravida Makkal Kalgam,780,2,782,0.07
15,NITHIYANANTHAM S,Naadaalum Makkal Katchi,735,4,739,0.07
16,SRINIVASAN V,Independent,609,8,617,0.06
17,DHAKSHINAMOORTHY M,Independent,518,17,535,0.05
18,NOTA,None of the Above,8642,53,8695,0.8
