S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BAG MITALI,All India Trinamool Congress,710432,2155,712587,45.71
2,ARUP KANTI DIGAR,Bharatiya Janata Party,704124,2064,706188,45.3
3,BIPLAB KUMAR MOITRA,Communist Party of India (Marxist),92073,429,92502,5.93
4,RAGHU MALLIK,Independent,16123,7,16130,1.03
5,SUBIR KUMAR ROY,Bahujan Samaj Party,3807,24,3831,0.25
6,VASKAR MALIK,Independent,3662,3,3665,0.24
7,SUKANTA POREL,Socialist Unity Centre Of India (COMMUNIST),1807,9,1816,0.12
8,BABLU GHANTI,Independent,1610,19,1629,0.1
9,ABHIJIT MAJI,Independent,1600,6,1606,0.1
10,ALOK DOLAI,Independent,1081,13,1094,0.07
11,NOTA,None of the Above,17981,50,18031,1.16
