S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANAND BHADAURIYA,Samajwadi Party,442650,1093,443743,39.91
2,REKHA VERMA,Bharatiya Janata Party,438573,721,439294,39.51
3,SHYAM KISHOR AWASTHI,Bahujan Samaj Party,184964,510,185474,16.68
4,JANARDAN PRASAD,Communist Party of India,15898,2,15900,1.43
5,RAJESH KUMAR,Political Justice Party,5020,3,5023,0.45
6,ASHUTOSH PATHAK,Aam Janta Party (India),3550,6,3556,0.32
7,SUDESH KUMAR,Lok Jan Sangharsh Party,2811,3,2814,0.25
8,SAMRENDRA KUMAR,Independent,2482,2,2484,0.22
9,VIJAY KUMAR TIWARI,Independent,2017,-,2017,0.18
10,KASIM ALI,Peace Party,1809,3,1812,0.16
11,SAKASEN,Sardar Patel Siddhant Party,1295,1,1296,0.12
12,RAM NARESH,Independent,1290,-,1290,0.12
13,NOTA,None of the Above,7133,11,7144,0.64
