S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,763236,3332,766568,48.57
2,NIRMAL CHANDRA ROY,All India Trinamool Congress,677496,2379,679875,43.07
3,DEBRAJ BARMAN,Communist Party of India (Marxist),73629,463,74092,4.69
4,SHIPRA RAY HAKIM,Independent,9890,17,9907,0.63
5,BINOD MALLICK,Bahujan Samaj Party,8537,29,8566,0.54
6,HAREKRISHNA SARKAR,Independent,5837,11,5848,0.37
7,MAHESWAR BARMAN,Independent,4254,13,4267,0.27
8,RAM PRASAD MANDAL,Socialist Unity Centre Of India (COMMUNIST),3815,20,3835,0.24
9,MANABENDRA ROY,Kamatapur People’s Party (United),2899,51,2950,0.19
10,NIRODE CHANDRA ADHIKARY,Independent,2504,13,2517,0.16
11,ADHIR CHANDRA BARMAN,Independent,1911,16,1927,0.12
12,RANJIT BARMAN,Mulnibasi Party of India,1180,9,1189,0.08
13,NOTA,None of the Above,16807,41,16848,1.07
