S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,HARENDRA SINGH MALIK,Samajwadi Party,469804,917,470721,43.64
2,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,443815,2234,446049,41.35
3,DARA SINGH PRAJAPATI,Bahujan Samaj Party,143323,384,143707,13.32
4,SUNIL TYAGI,Independent,7131,36,7167,0.66
5,KAVITA,Rashtrawadi Janlok Party (Satya),1970,30,2000,0.19
6,SHASHIKANT SHAMAR,Independent,1429,2,1431,0.13
7,BIRBAL SINGH,Vishal Janta Party,1419,2,1421,0.13
8,NEEL KUMAR,Jai Samta Party,858,3,861,0.08
9,RESHU SHARMA,Independent,679,5,684,0.06
10,ANKUR,Independent,362,10,372,0.03
11,MANUJ VERMA,Independent,333,7,340,0.03
12,NOTA,None of the Above,3884,32,3916,0.36
