S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,585591,6356,591947,49.61
2,CHANDANJI TALAJI THAKOR,Indian National Congress,555134,4937,560071,46.94
3,BALVANT CHHATRALIYA,Bahujan Samaj Party,5811,54,5865,0.49
4,SOYAB HASAM BHORANIYA,Independent,5473,1,5474,0.46
5,THAKOR KISHANBHAI KALUBHAI,Independent,2909,7,2916,0.24
6,SHARMA RAKESHBHAI,Rashtriya Samaj Paksha,2765,9,2774,0.23
7,GHAGHA MASIHULLAH ABDULHAMID,Social Democratic Party Of India,2305,7,2312,0.19
8,CHANDURA DHANJIBHAI LAXAMANBHAI,Independent,2135,25,2160,0.18
9,ABDULHAQ ISMAIL NEDARIYA,Independent,1510,14,1524,0.13
10,ABDULKUDDUS,Independent,1358,2,1360,0.11
11,NOTA,None of the Above,16382,340,16722,1.4
