S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SELJA,Indian National Congress,732298,1525,733823,54.17
2,ASHOK TANWAR,Bharatiya Janata Party,464472,854,465326,34.35
3,SANDEEP LOT VALMIKI,Indian National Lok Dal,92279,174,92453,6.82
4,RAMESH KHATAK,Jannayak Janta Party,20049,31,20080,1.48
5,LILU RAM ASAKHERA,Bahujan Samaj Party,10120,31,10151,0.75
6,RAHUL CHOUHAN,Independent,6159,1,6160,0.45
7,KARNAIL SINGH ODHAN,Independent,4152,14,4166,0.31
8,SATPAL LADWAL,Independent,3413,-,3413,0.25
9,MISTRI DAULAT RAM ROLAN,Peoples Party of India (Democratic),3058,3,3061,0.23
10,JOGINDER RAM,Independent,2140,2,2142,0.16
11,RAN SINGH PANWAR,Independent,1548,2,1550,0.11
12,RAJINDER KUMAR,Bharatiya Asha Party,1239,3,1242,0.09
13,BAGDAWAT RAM,Independent,1221,3,1224,0.09
14,JASVIR SINGH,Independent,1128,8,1136,0.08
15,NAVEEN KUMAR COMMANDO,Independent,1113,3,1116,0.08
16,SUKHDEV SINGH SANDHU,Independent,993,6,999,0.07
17,DR. RAJESH MEHANDIA,Bahujan Republican Socialist Party,931,-,931,0.07
18,DHARAMPAL VARTIA,Loktantrik Lok Rajyam Party,916,3,919,0.07
19,SURENDER KUMAR PHULAN,Independent,614,3,617,0.05
20,NOTA,None of the Above,4106,17,4123,0.30000000000000004
