S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DHARMENDRA PRADHAN,Bharatiya Janata Party,587827,4335,592162,49.48
2,PRANAB PRAKASH DAS,Biju Janata Dal,471198,1128,472326,39.47
3,NAGENDRA KUMAR PRADHAN,Indian National Congress,88573,540,89113,7.45
4,SADANAND RANBIDA,Bahujan Samaj Party,4776,19,4795,0.4
5,SRIRAM PANDEY,Independent,4700,2,4702,0.39
6,SHUSHIL KUMAR BABU,Independent,4298,5,4303,0.36
7,GNYANENDRA BEHERA,Independent,3331,3,3334,0.28
8,NABAKISHORE PRADHAN,Socialist Unity Centre Of India (COMMUNIST),3151,6,3157,0.26
9,ATMA RAM SUPKAR,Independent,2053,6,2059,0.17
10,PURUSHOTTAM PATRA,Kosal Janata Dal,1731,4,1735,0.14
11,RAKESH BAG,Bharatiya Nyay-Adhikar Raksha Party,1704,4,1708,0.14
12,SUBASH MOHAPATRA,National Jan Dal,1669,24,1693,0.14
13,LAXMAN KUMAR BHOI,Paschimanchal Vikas Party,1662,20,1682,0.14
14,KHAGESWAR BEHERA,Rashtriya Manav Party,1492,3,1495,0.12
15,NOTA,None of the Above,12451,32,12483,1.04
