S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),393342,1796,395138,49.73
2,RAHUL RAMESH SHEWALE,Shiv Sena,339828,1926,341754,43.01
3,ABUL HASAN ALI HASAN KHAN,Vanchit Bahujan Aaghadi,23675,192,23867,3.0
4,VIDHYASAGAR ALIAS SURESH BHIMRAO VIDHYAGAR,Bahujan Samaj Party,6462,70,6532,0.8200000000000001
5,AKASH LAXMAN KHARATMAL,Independent,1891,8,1899,0.24
6,ASHWINI KUMAR PATHAK,Independent,1607,5,1612,0.2
7,ADV. SANTOSH PUNJIRAM SANJKAR,Independent,1565,13,1578,0.2
8,KARAM HUSSAIN KITABULLAH KHAN,Peace Party,1533,4,1537,0.19
9,ADV. MAHENDRA TULSHIRAM BHINGARDIVE,Right to Recall Party,1414,30,1444,0.18
10,SAEED CHOUDHARY,Social Democratic Party Of India,1186,5,1191,0.15
11,ISHWAR VILAS TATHAWADE,Rashtriya Mahaswaraj Bhumi Party,968,3,971,0.12
12,DEEPAK M. CHAUGULE,Bahujan Republican Socialist Party,968,7,975,0.12
13,JAHID ALI NASIR AHMED SHAIKH,Aazad Samaj Party (Kanshi Ram),957,2,959,0.12
14,DR. ARJUN MAHADEO MURUDKAR,Bharatheeya Jawan Kisan Party,913,17,930,0.12
15,VIVEK YESHWANT PATIL,Independent,713,1,714,0.09
16,NOTA,None of the Above,13316,107,13423,1.69
