S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ADHIKARI SOUMENDU,Bharatiya Janata Party,757906,5289,763195,49.85
2,UTTAM BARIK SON OF LATE BIRENDRA BARIK,All India Trinamool Congress,709763,5668,715431,46.73
3,URBASI BANERJEE,Indian National Congress,30737,385,31122,2.03
4,BIDESH BASU MAITY,Independent,5633,21,5654,0.37
5,MANAS PRADHAN,Socialist Unity Centre Of India (COMMUNIST),2489,40,2529,0.17
6,UTTAM BARIK SON OF LATE NARAYAN BARIK,Independent,1963,35,1998,0.13
7,MAKHAN LAL MAHAPATRA,Bahujan Samaj Party,1792,12,1804,0.12
8,MD AHAMADULLAH KHAN,Independent,530,56,586,0.04
9,ARJUN KUMAR MAITY,Independent,504,40,544,0.04
10,NOTA,None of the Above,8075,59,8134,0.53
