S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MISHA BHARTI,Rashtriya Janata Dal,612147,1136,613283,49.86
2,RAM KRIPAL YADAV,Bharatiya Janata Party,526608,1501,528109,42.93
3,DR S P SHARMA,Hindustan Vikas Dal,15139,1,15140,1.23
4,HARIKESHWAR RAM,Bahujan Samaj Party,10931,34,10965,0.89
5,VINDU DEVI,Rashtriya Jansambhavna Party,10741,3,10744,0.87
6,SHIV KUMAR SINGH,Apna Kisan Party,9011,5,9016,0.73
7,SANJAY KUMAR SINGH,Bhartiya Sarthak Party,4753,-,4753,0.39
8,MD FAROOQUE RAZA,All India Majlis-E-Ittehadul Muslimeen,4010,13,4023,0.33
9,RAM NIRANJAN ROY,Rashtrawadi Chetna Party,3914,1,3915,0.32
10,MRITUNJAY KUMAR,Bhagidari Party(P),3483,-,3483,0.28
11,DURGESH NANDAN SINGH,Independent,3104,2,3106,0.25
12,NAGESHWAR PRASAD,Peoples Party of India (Democratic),2048,3,2051,0.17
13,SUBHASH KUMAR,Bhartiya Lok Chetna Party,1979,-,1979,0.16
14,NITESH KUMAR PATEL,Adarsh Jankalyan Dal,1816,1,1817,0.15
15,RANJAN KUMAR,Independent,1807,2,1809,0.15
16,NIRAJ KUMAR,Independent,1767,4,1771,0.14
17,KUNAL KUMAR,Hamara Sahara Party,1607,7,1614,0.13
18,KHUSHBOO KUMARI,Akhil Bhartiya Parivar Party,1479,4,1483,0.12
19,ANIL DAS,Bhartiya Dalit Party,1465,4,1469,0.12
20,ANIL KUMAR CHAND,Socialist Unity Centre Of India (COMMUNIST),1421,3,1424,0.12
21,MADHURI KUMARI,All India Forward Bloc,1301,1,1302,0.11
22,JAWAHAR SINGH,Bhartiya Manavta Party,1235,2,1237,0.1
23,NOTA,None of the Above,5573,33,5606,0.46
