S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KARTI P CHIDAMBARAM,Indian National Congress,425631,2046,427677,40.6
2,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,221255,758,222013,21.08
3,DHEVANATHAN YADAV T,Bharatiya Janata Party,194559,1229,195788,18.59
4,EZHILARASI,Naam Tamilar Katchi,162558,854,163412,15.51
5,DHANALAKSHMI M,Independent,8494,18,8512,0.81
6,GOVINDHARAJU M.G,Independent,4231,10,4241,0.4
7,NAGARAJAN KR,Independent,3682,14,3696,0.35000000000000003
8,PALANIYAPPAN R,Independent,3426,1,3427,0.33
9,RANJITHKUMAR BALUSWAMY,Bahujan Samaj Party,3160,11,3171,0.30000000000000004
10,BASKARAN S,Independent,2191,3,2194,0.21
11,KALAISELVAM K,Independent,1660,3,1663,0.16
12,MALAISAMY K,Independent,1524,3,1527,0.14
13,SEKAR A,Independent,1285,7,1292,0.12
14,SELVARAJ P,Independent,1108,3,1111,0.11
15,THILLAIVASAGAM M,Vidiyalai Thedum Indhiyargal Party,1068,5,1073,0.1
16,ASHOK KUMAR K,Independent,1030,4,1034,0.1
17,KARTHICK C,Independent,975,6,981,0.09
18,MUTHARASU PANDIYAN V,Independent,824,4,828,0.08
19,KALAIRAJA B,Independent,816,3,819,0.08
20,KARTHIKAIRAJAN P,Independent,762,9,771,0.07
21,NOTA,None of the Above,8119,70,8189,0.78
