S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MANICKAM TAGORE B,Indian National Congress,382876,2380,385256,36.28
2,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,378243,2634,380877,35.87
3,RADIKAA R,Bharatiya Janata Party,164149,2122,166271,15.66
4,KAUSHIK S,Naam Tamilar Katchi,76122,909,77031,7.25
5,RAJESH,Independent,6167,6,6173,0.58
6,ASHOK KUMAR M,Bharatiya Praja Aikyata Party,5228,65,5293,0.5
7,SEKAR S,Hindu Samaj Party,3436,10,3446,0.32
8,MANIKANDAN M,Independent,3341,5,3346,0.32
9,MAYAK KANNAN,Independent,2749,2,2751,0.26
10,MAHENDRA RAMAKRISHNAN P,Independent,2404,1,2405,0.23
11,SURESH,Bahujan Samaj Party,2378,19,2397,0.23
12,SELVI K,Independent,2165,23,2188,0.21
13,PANDIYAMMAL R,Independent,2128,5,2133,0.2
14,SUDALAIMANI M,Independent,1357,2,1359,0.13
15,PALANICHAMY P,Bahujan Dravida Party,1261,2,1263,0.12
16,PALANISAMY K,Independent,1251,6,1257,0.12
17,VENKATESWARAN V K,Independent,1242,5,1247,0.12
18,SELVARAJAN V V,Independent,1120,1,1121,0.11
19,MARIEESWARI M,Independent,1100,10,1110,0.1
20,SANKARANARAYANAN N,Independent,994,4,998,0.09
21,SELVAKUMAR M,Independent,896,6,902,0.08
22,MUTHUKANNU C,Tamilaga Makkal Nala Katchi,753,8,761,0.07
23,MARISELVAM S,All India People Development Party,708,3,711,0.07
24,JEYARAJ T,Independent,602,8,610,0.06
25,VEDHA @ DHAMODHARAN,Independent,599,1,600,0.06
26,RAJAGOPAL S,Independent,525,2,527,0.05
27,GANESHAMOORTHI G,Independent,457,3,460,0.04
28,NOTA,None of the Above,9256,152,9408,0.89
