S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABHAY KUMAR SINHA,Rashtriya Janata Dal,463845,1722,465567,49.22
2,SUSHIL KUMAR SINGH,Bharatiya Janata Party,384819,1637,386456,40.86
3,SUNESH KUMAR,Bahujan Samaj Party,20232,77,20309,2.15
4,PRATIBHA RANI,Peoples Party of India (Democratic),12265,43,12308,1.3
5,RAJ BALLABH SINGH,Independent,11150,9,11159,1.18
6,RAMJIT SINGH,Rashtriya Jansambhavna Party,9237,6,9243,0.98
7,SURESH PRASAD VERMA,Independent,6704,7,6711,0.71
8,MOHAMMAD WALIULLAH KHAN,Independent,6591,13,6604,0.7000000000000001
9,SHAILESH RAHI,Akhil Hind Forward Bloc (Krantikari),4892,4,4896,0.52
10,NOTA,None of the Above,22566,61,22627,2.39
