S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ROBERT BRUCE C,Indian National Congress,499493,2803,502296,47.06
2,NAINAR NAGENTHRAN,Bharatiya Janata Party,334431,2245,336676,31.54
3,JANSI RANI M,All India Anna Dravida Munnetra Kazhagam,88996,605,89601,8.39
4,SATHYA,Naam Tamilar Katchi,86918,768,87686,8.21
5,POTTAL SUNDARA MUNISWARAN,Independent,19802,50,19852,1.8599999999999999
6,ATHISAYAM V,Independent,3744,37,3781,0.35000000000000003
7,BALASUBRAMANIAN,Bahujan Samaj Party,2044,23,2067,0.19
8,CHINNA MAHARAJA K,Independent,1888,7,1895,0.18
9,DAVID M,Independent,1829,7,1836,0.17
10,SAMUEL LAWRENCE PONNIAH,Independent,1493,4,1497,0.14
11,BISHOP DR GODFREY WASHINGTON NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1457,18,1475,0.14
12,LENIN K,Independent,1441,9,1450,0.14
13,CHANDRAN M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1409,4,1413,0.13
14,SELVA KUMAR S,Bahujan Dravida Party,1317,29,1346,0.13
15,KUMAR V,Puthiya Makkal Tamil Desam Katchi,1057,15,1072,0.1
16,MUTHURAMAN A,Aravor Munnetra Kazhagam,1046,2,1048,0.1
17,THALAPATHY MURUGAN M,Independent,913,4,917,0.09
18,SIVARAM K,Independent,855,20,875,0.08
19,RAMAKRISHNAN N,Nam India Naam Indiyar Katchi,790,-,790,0.07
20,SURESH,Independent,777,11,788,0.07
21,DR RAJENDRA RETNAM K,Independent,685,4,689,0.06
22,SEVAL KANNAN B ADVOCATE,Independent,622,14,636,0.06
23,RAGHAVAN C M,Independent,364,2,366,0.03
24,NOTA,None of the Above,7285,111,7396,0.6900000000000001
