S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,439836,2096,441932,46.65
2,SANGAM LAL GUPTA,Bharatiya Janata Party,374208,1518,375726,39.66
3,PRATHMESH MISHRA 'SENANI',Bahujan Samaj Party,79872,272,80144,8.46
4,SANDEEP SINGH,National Jan Dal,5270,16,5286,0.56
5,ARUN KUMAR PANDEY,Hindustan Samaj Party,4984,7,4991,0.53
6,SHIV RAM SHARMA,Moulik Adhikar Party,4709,2,4711,0.5
7,AMAR SINGH,Independent,4135,3,4138,0.44
8,SUNIL CHANDRA PAL,Rashtra Uday Party,3337,3,3340,0.35000000000000003
9,AJEET PRATAP,Independent,2581,-,2581,0.27
10,VIJAY SINGH,Sanatan Sanskriti Raksha Dal,2457,2,2459,0.26
11,RISHI PATEL,Apna Dal (Kamerawadi),2425,4,2429,0.26
12,MAHESH KUMAR PRAJAPATI,Samajhdar Party,1963,1,1964,0.21
13,DHANANJAY,Independent,1622,1,1623,0.17
14,GEETA DEVI,Bhartiya Lokmat Rashtrwadi Party,1582,12,1594,0.17
15,RAMSIDDH YADAV URF R.S.YADAV,Manavtawadi Samaj Party,1326,1,1327,0.14
16,SUNIL KUMAR MISHRA,Independent,1134,2,1136,0.12
17,SHANKAR SUMAN TIVARI,Independent,1128,1,1129,0.12
18,DURGESH KUMAR,Rastriya Atal Janta Party,1113,3,1116,0.12
19,RAM KUMAR YADAV,Socialist Unity Centre Of India (COMMUNIST),1070,1,1071,0.11
20,SHIV PAL PATEL,Independent,1025,5,1030,0.11
21,DHARMENDRA TIWARI,Log Party,992,1,993,0.1
22,JOKHU PATEL,Sardar Patel Siddhant Party,969,2,971,0.1
23,SHRAWAN KUMAR TRIPATHI,Independent,849,2,851,0.09
24,DHYAN SINGH,Independent,675,3,678,0.07
25,PRAMOD KUMAR,Independent,672,2,674,0.07
26,MOHRAM ALI,Independent,501,2,503,0.05
27,NOTA,None of the Above,2869,22,2891,0.31
