S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJU BISTA,Bharatiya Janata Party,675324,4007,679331,51.18
2,GOPAL LAMA,All India Trinamool Congress,498789,2017,500806,37.73
3,MUNISH TAMANG,Indian National Congress,82597,777,83374,6.28
4,BANDANA RAI,Independent,13155,519,13674,1.03
5,BISHNU PRASAD SHARMA,Independent,7431,16,7447,0.56
6,BHUPENDRA LEPCHA,Independent,6369,26,6395,0.48
7,ATASI BISWAS,Kisan Mazdoor Sangharsh Party,4586,55,4641,0.35000000000000003
8,PRADHAN MARDI,Ambedkarite Party of India,2714,33,2747,0.21
9,KHUSHI RANJAN MANDAL,Independent,2313,24,2337,0.18
10,KALICHARAN BARMAN,Independent,2055,24,2079,0.16
11,QAMRUL HAQUE,North Bengal People’s Party,1829,24,1853,0.14
12,BUDHARU ROY,Kamatapur People’s Party (United),1734,28,1762,0.13
13,SHAHRIAR ALAM,Socialist Unity Centre Of India (COMMUNIST),1605,9,1614,0.12
14,SUBODH PAKHRIN,Gorkha Rashtriya Congress,1270,61,1331,0.1
15,NOTA,None of the Above,17960,61,18021,1.3599999999999999
