S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AJAY BHATT,Bharatiya Janata Party,766397,6274,772671,61.03
2,PRAKASH JOSHI,Indian National Congress,434916,3207,438123,34.61
3,AKHTAR ALI,Bahujan Samaj Party,23276,179,23455,1.85
4,AKHALESH KUMAR,Akhil Bhartiya Parivar Party,4871,31,4902,0.39
5,HITESH PATHAK,Independent,4287,28,4315,0.34
6,RAMESH KUMAR MAX,Independent,3271,29,3300,0.26
7,AMAR SINGH SAINI,Peoples Party of India (Democratic),2963,24,2987,0.24
8,JEEVAN CHANDRA UPRETI,Bharat Ki Lok Jimmedar Party,2292,18,2310,0.18
9,SHIB SINGH,Uttarakhand Kranti Dal,1809,46,1855,0.15
10,SURENDRA SINGH,Bhartiya Shakti Chetna Party,1655,18,1673,0.13
11,NOTA,None of the Above,10227,198,10425,0.8200000000000001
