S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR JITENDRA SINGH,Bharatiya Janata Party,566833,4243,571076,51.28
2,CH LAL SINGH,Indian National Congress,444151,2552,446703,40.11
3,GHULAM MOHD SAROORI,Independent,39519,80,39599,3.56
4,MEHRAJ DIN,Independent,9055,27,9082,0.8200000000000001
5,AMIT KUMAR,Bahujan Samaj Party,8559,83,8642,0.78
6,MOHD ALI GUJJAR,Independent,7139,19,7158,0.64
7,MANOJ KUMAR,Ekam Sanatan Bharat Dal,6778,56,6834,0.61
8,BALWAN SINGH,Jammu & Kashmir National Panthers Party (Bhim),3243,49,3292,0.30000000000000004
9,SWARN VEER SINGH JARAL,Independent,3071,17,3088,0.28
10,DR PANKAJ SHARMA,Independent,2201,46,2247,0.2
11,RAJESH MANCHANDA,Independent,1575,30,1605,0.14
12,SACHIN GUPTA,Independent,1457,6,1463,0.13
13,NOTA,None of the Above,12891,47,12938,1.16
