S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAHUL GANDHI,Indian National Congress,642299,5146,647445,59.69
2,ANNIE RAJA,Communist Party of India,280594,2429,283023,26.09
3,K SURENDRAN,Bharatiya Janata Party,139868,1177,141045,13.0
4,P.R KRISHNANKUTTY,Bahujan Samaj Party,1946,27,1973,0.18
5,SATHYAN K.P,Independent,1017,42,1059,0.1
6,SINOJ A.C,Independent,885,18,903,0.08
7,PRASEETHA AZHIKODE,Independent,814,26,840,0.08
8,AJEEB MUHAMMED,Independent,796,8,804,0.07
9,P RADHAKRISHNAN,Independent,555,7,562,0.05
10,NOTA,None of the Above,6932,67,6999,0.65
