S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SATABDI ROY,All India Trinamool Congress,714972,2989,717961,47.0
2,DEBTANU BHATTACHARYA,Bharatiya Janata Party,517761,2550,520311,34.06
3,MILTON RASHID,Indian National Congress,225572,688,226260,14.81
4,AMIY GHOSH,Independent,11950,8,11958,0.78
5,LAKSHMI HEMBROM,Ambedkarite Party of India,7677,10,7687,0.5
6,AYESHA KHATUN,Socialist Unity Centre Of India (COMMUNIST),6761,18,6779,0.44
7,RAJNATH SARKAR,Bahujan Samaj Party,5866,16,5882,0.39
8,SAURAV MUDI,Independent,4249,7,4256,0.28
9,ABDUL IMRAN,Independent,3823,9,3832,0.25
10,BISWAJIT MISHRA,All India Arya Mahasabha,3806,17,3823,0.25
11,MD. JAKIR HOSSAIN,Bharatiya National Janata Dal,2547,10,2557,0.17
12,DOLA SARKAR,Indian National Socialistic Action Forces,2027,6,2033,0.13
13,NOTA,None of the Above,14037,56,14093,0.92
