S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,514256,3167,517423,47.6
2,RAJARAM PAL,Samajwadi Party,469766,3312,473078,43.52
3,RAJESH KUMAR DWIVEDI,Bahujan Samaj Party,72679,461,73140,6.73
4,RAJARAM,Independent,4629,13,4642,0.43
5,ASHOK PASWAN ADVOCATE,Sabhi Jan Party,3160,13,3173,0.29
6,CHANDRESH SINGH,Bhartiya Shakti Chetna Party,2641,13,2654,0.24
7,YOGESH JAISWAL,Independent,2529,14,2543,0.23
8,VIPIN KUMAR,Rashtriya Sanskriti Party,1489,5,1494,0.14
9,RAMGOPAL,Rashtriya Janutthan Party,1146,11,1157,0.11
10,NOTA,None of the Above,7523,126,7649,0.7000000000000001
