S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANURAG SHARMA,Bharatiya Janata Party,689438,878,690316,50.0
2,"PRADEEP JAIN ""ADITYA""",Indian National Congress,587000,702,587702,42.57
3,RAVI PRAKASH,Bahujan Samaj Party,63106,86,63192,4.58
4,LAKHAN LAL,Independent,6832,-,6832,0.49
5,RAMESH,Independent,6330,8,6338,0.46
6,GANESH RAM,Independent,2574,1,2575,0.19
7,CHANDAN SINGH,Apna Dal (Kamerawadi),2487,4,2491,0.18
8,DHARMENDRA PRATAP,Independent,2299,4,2303,0.17
9,INDRA SINGH,Independent,2076,2,2078,0.15
10,ER. DEEPAK KUMAR VERMA,Al-Hind Party,1375,2,1377,0.1
11,NOTA,None of the Above,15290,12,15302,1.11
