S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,406018,549,406567,38.94
2,R. K. SINGH PATEL,Bharatiya Janata Party,334950,407,335357,32.12
3,MAYANK DWIVEDI,Bahujan Samaj Party,245530,215,245745,23.54
4,RAMCHANDRA SARAS,Communist Party of India,9436,2,9438,0.9
5,PANCHA URF PANCHAMLAL,Bhagidari Party(P),7714,3,7717,0.74
6,GULAB CHANDER BARMA,Rashtra Uday Party,5905,2,5907,0.5700000000000001
7,RAMCHRAN,Independent,5419,4,5423,0.52
8,SURENDRA KUMAR,Swatantra Jantaraj Party,4380,2,4382,0.42
9,SHRIRAM SINGH GAUR,Bhartiya Shakti Chetna Party,3347,3,3350,0.32
10,DINESH KUMAR PATEL,Sardar Patel Siddhant Party,2507,1,2508,0.24
11,BABULAL,Log Party,2358,3,2361,0.23
12,PRAMOD AZAD,Apna Dal (Kamerawadi),2141,1,2142,0.21
13,NOTA,None of the Above,13226,9,13235,1.27
