S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,499866,462,500328,45.2
2,NIRANJAN JYOTI,Bharatiya Janata Party,466249,880,467129,42.2
3,MANISH SINGH SACHAN,Bahujan Samaj Party,90897,73,90970,8.22
4,BIRENDRA SINGH,Independent,7917,3,7920,0.72
5,KAMLESH KUMAR SINGH,Parivartan Samaj Party,5212,7,5219,0.47000000000000003
6,PANKAJ AWASTHI,Independent,4456,1,4457,0.4
7,RAMKISHOR,Rashtra Uday Party,4075,4,4079,0.37
8,JITENDRA KUMAR MAURYA,Independent,3333,3,3336,0.30000000000000004
9,KULDEEP KUSHWAHA,Independent,2724,2,2726,0.25
10,RAJ BAHADUR,Peoples Party of India (Democratic),2653,1,2654,0.24
11,NIRAJ KUMAR,Akhil Bhartiya Parivar Party,2561,6,2567,0.23
12,RAM BIHARI,Bhartiya Shakti Chetna Party,2342,2,2344,0.21
13,NEERAJ LODHI,Vikas Insaf Party,2028,5,2033,0.18
14,JAY CHANDRA KUMAR,Vishwa Kalyan Rashtriya Manav Samaj Party,1602,2,1604,0.14
15,RAJESH KUMAR PATEL,Sardar Patel Siddhant Party,1449,9,1458,0.13
16,NOTA,None of the Above,8108,12,8120,0.73
