S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,348289,1578,349867,31.53
2,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),319415,973,320388,28.88
3,RAVIKANT CHANDRADAS TUPKAR,Independent,249042,921,249963,22.53
4,VASANTRAO RAJARAM MAGAR,Vanchit Bahujan Aaghadi,98093,348,98441,8.87
5,ASHOK WAMAN HIWALE,Independent,15414,22,15436,1.3900000000000001
6,SANDEEP RAMRAO SHELKE,Independent,12993,57,13050,1.18
7,GAUTAM KISANRAO MAGHADE,Bahujan Samaj Party,8125,93,8218,0.74
8,ASLAM SHAH HASAN SHAH,Maharashtra Vikas Aghadi,6117,36,6153,0.55
9,NANDU JAGANNATH LAWANGE,Independent,5696,17,5713,0.51
10,MACHHINDRA SHESHRAV MAGHADE,Socialist Party (India),5247,11,5258,0.47000000000000003
11,MOHAMMAD HASAN INAMDAR,Minorities Democratic Party,4966,12,4978,0.45
12,GAJANAN JANARDAN DHANDE,Independent,4841,13,4854,0.44
13,DINKAR TUKARAM SAMBARE,Independent,4550,14,4564,0.41000000000000003
14,BALASAHEB RAMCHANDRA INGLE,Independent,3911,20,3931,0.35000000000000003
15,PRATAP PANDHARINATH PATIL,Independent,2547,14,2561,0.23
16,SANTOSH BHIMRAO INGLE,Republican Party of India (A),2524,6,2530,0.23
17,MADHAVRAO SAKHARAM BANSODE,Bahujan Republican Socialist Party,2441,14,2455,0.22
18,VIKAS BHAI NANDAVE,Bhim Sena,2322,9,2331,0.21
19,UDDHAV ONKAR ATOLE,Independent,1946,22,1968,0.18
20,REKHA KAILAS POPHALKAR,Independent,1533,7,1540,0.14
21,PROF SUMANTAI TIRPUDE,Peoples Party of India (Democratic),1505,6,1511,0.14
22,NOTA,None of the Above,3750,36,3786,0.34
