S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MANOHAR LAL,Bharatiya Janata Party,737282,2003,739285,54.93
2,DIVYANSHU BUDHIRAJA,Indian National Congress,504437,2271,506708,37.65
3,INDER SINGH,Bahujan Samaj Party,32410,98,32508,2.42
4,MARATHA VIRENDER VERMA,Nationalist Congress Party – Sharadchandra Pawar,28984,167,29151,2.17
5,DEVENDER KADIAN,Jannayak Janta Party,11399,68,11467,0.85
6,MANOJ BANSAL,Independent,4000,4,4004,0.30000000000000004
7,GULSHAN KASHYAP,Independent,2987,7,2994,0.22
8,ASHOK KATARIA,Samst Samaj Party,2898,6,2904,0.22
9,HARJEET SINGH VIRK,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1857,9,1866,0.14
10,SONIA,Independent,1846,5,1851,0.14
11,MANISH,Independent,1587,-,1587,0.12
12,LEENA KOHLI,Independent,1281,11,1292,0.1
13,NITIN GEHLOT,Peoples Party of India (Democratic),1252,1,1253,0.09
14,BALWAN SINGH,Independent,1186,2,1188,0.09
15,VINEET CHOUDHARY,Bharatiya Asha Party,1018,2,1020,0.08
16,ROOP SINGH,Rashtriya Garib Dal,766,3,769,0.06
17,SAWAMI AGNIVESH,Independent,748,4,752,0.06
18,AZAD SINGH PUNIA,Independent,703,2,705,0.05
19,ASHOK KUMAR,Independent,631,2,633,0.05
20,NOTA,None of the Above,3925,30,3955,0.29
