S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANNPURNA DEVI,Bharatiya Janata Party,787185,4472,791657,57.79
2,VINOD KUMAR SINGH,Communist Party of India (Marxist-Leninist) (Liberation),410945,3698,414643,30.27
3,MANOJ KUMAR,Independent,28310,302,28612,2.09
4,JAI PRAKASH VERMA,Independent,22843,380,23223,1.7000000000000002
5,SITAN RABIDAS,Bahujan Samaj Party,13067,107,13174,0.96
6,SURENDRA KUMAR AGRAWAL,Independent,9646,10,9656,0.7000000000000001
7,SAHADAT ANSARI,Independent,8217,15,8232,0.6000000000000001
8,JAYNARAYAN DAS,Bahujan Mukti Party,6701,37,6738,0.49
9,AKLESHWAR SAW,Lokhit Adhikar Party,5574,27,5601,0.41000000000000003
10,JITLAL KISKU,Independent,5299,34,5333,0.39
11,MD. SAGIR,Independent,5041,3,5044,0.37
12,AJAY KRISHNA,Moolniwasi Samaj Party,4526,15,4541,0.33
13,RAJESH,Independent,4230,3,4233,0.31
14,RAMESHWAR PRASAD YADAV,Independent,4227,2,4229,0.31
15,ASHISH KUMAR,Right to Recall Party,2892,4,2896,0.21
16,NOTA,None of the Above,42089,63,42152,3.08
