S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,M. K. RAGHAVAN,Indian National Congress,515608,4813,520421,47.74
2,ELAMARAM KAREEM,Communist Party of India (Marxist),369884,4361,374245,34.33
3,M. T. RAMESH,Bharatiya Janata Party,178692,1974,180666,16.57
4,ARAMUKHAN,Bahujan Samaj Party,1684,31,1715,0.16
5,ARAVINDAKSHAN NAIR M. K.,Bharatheeya Jawan Kisan Party,1290,15,1305,0.12
6,RAGHAVAN S/O NARAYANAN NAIR,Independent,1057,39,1096,0.1
7,T. RAGHAVAN S/O VELLANKUTTY,Independent,1009,9,1018,0.09
8,N. RAGHAVAN S/O DAMU,Independent,753,29,782,0.07
9,SUBHA,Independent,705,7,712,0.07
10,DR. M. JYOTHIRAJ,Socialist Unity Centre Of India (COMMUNIST),641,12,653,0.06
11,ABDUL KAREEM S/O MAHAMMOOD,Independent,536,5,541,0.05
12,ABDUL KAREEM S/O AYAMMATH KUTTY,Independent,285,2,287,0.03
13,ABDUL KAREEM K. S/O ASSAIN,Independent,257,36,293,0.03
14,NOTA,None of the Above,6236,80,6316,0.58
