S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,T R BAALU,Dravida Munnetra Kazhagam,755671,2940,758611,52.65
2,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,270549,1033,271582,18.85
3,V N VENUGOPAL,Tamil Maanila Congress (Moopanar),209183,927,210110,14.58
4,V RAVICHANDRAN,Naam Tamilar Katchi,139931,302,140233,9.73
5,K PRABAKARAN,Bahujan Samaj Party,8115,74,8189,0.5700000000000001
6,M S ARUMUGAM,Independent,3695,4,3699,0.26
7,V SUDHAVALLI,Aravor Munnetra Kazhagam,3659,35,3694,0.26
8,S AMBETHKUMAR,Mahathma Makkal Munnetra Kazhakam,2211,9,2220,0.15
9,M ASHOK KUMAR,Independent,1696,8,1704,0.12
10,S SIVAKUMAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1349,3,1352,0.09
11,AYODHI LAKSHMANAN,Independent,1255,4,1259,0.09
12,S CHITTIBABU,Naadaalum Makkal Katchi,1238,3,1241,0.09
13,C ARAVIND,Desiya Makkal Sakthi Katchi,959,11,970,0.07
14,GOPI DEEPAK,Independent,878,5,883,0.06
15,KARTHIK KUMAR P C,Independent,866,1,867,0.06
16,J MOHANRAJ,Jebamani Janata,817,5,822,0.06
17,DR S PRAVEEN,Independent,791,8,799,0.06
18,I MOHAMED YASEEN,Thakkam Katchi,668,1,669,0.05
19,K PALANIYAPPAN,Tamizhaga Murpokku Makkal Katchi,613,4,617,0.04
20,S PRABHU,Independent,513,1,514,0.04
21,P BASKARAN,Independent,493,1,494,0.03
22,P HARIDAS,Independent,458,2,460,0.03
23,C A JAYARAMAN,Independent,445,2,447,0.03
24,G RAMKUMAR,Independent,426,-,426,0.03
25,N MANIKKAM,Independent,402,1,403,0.03
26,M PREMKUMAR,Independent,393,1,394,0.03
27,S MUNIKUMAR,Samaniya Makkal Nala Katchi,393,1,394,0.03
28,M SARAVANAN,Independent,385,-,385,0.03
29,A JINNA MOHAMMED,Independent,382,6,388,0.03
30,S SIVARAMAN,Independent,340,3,343,0.02
31,C PREMKUMAR,Independent,313,3,316,0.02
32,NOTA,None of the Above,26294,156,26450,1.8399999999999999
