S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TANUJ PUNIA,Indian National Congress,718528,1399,719927,55.78
2,RAJRANI RAWAT,Bharatiya Janata Party,503452,771,504223,39.07
3,SHIV KUMAR DOHAREY,Bahujan Samaj Party,39105,72,39177,3.04
4,BABOORAM,Independent,3669,-,3669,0.28
5,RAMLAKHAN PASI,Independent,2927,1,2928,0.23
6,MITHALESH KUMARI,Independent,2320,1,2321,0.18
7,DEVATADEEN GAUTAM,Independent,2172,1,2173,0.17
8,ASHA DEVI,Swatantrata Abhivyakti Party,2018,2,2020,0.16
9,PROF. (DR.) RAM GHULAM RAZDAN,Public Adhikar Socialist Indian Party,1493,-,1493,0.12
10,MAHENDRA KUMAR RAWAT,Awami Samta Party,1189,1,1190,0.09
11,OMKAR,Independent,1137,1,1138,0.09
12,ADVOCATE SANTOSH RAWAT,Dr. Bhimrao Ambedkar Dal,1076,2,1078,0.08
13,PREMCHANDRA HARIJAN,Sardar Patel Siddhant Party,1075,1,1076,0.08
14,NOTA,None of the Above,8220,1,8221,0.64
