S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANAND KUMAR,Bharatiya Janata Party,518575,227,518802,49.1
2,RAMESH CHANDRA,Samajwadi Party,454454,121,454575,43.02
3,DR. BRIJESH KUMAR,Bahujan Samaj Party,50422,26,50448,4.77
4,ARVIND KUMAR,Bhartiya Awam Party (Rastriya),6158,2,6160,0.58
5,RAMESH BALMIKI,Independent,3223,4,3227,0.31
6,BECHULAL,Independent,2919,1,2920,0.28
7,JANARDAN GOND,Independent,2672,1,2673,0.25
8,RAM MILAN,Sardar Patel Siddhant Party,1699,-,1699,0.16
9,RINKU SAHANI,Rashtra Dharak Dal,1681,2,1683,0.16
10,JAGRAM,Independent,1514,1,1515,0.14
11,NOTA,None of the Above,12862,2,12864,1.22
