S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAO RAJENDRA SINGH,Bharatiya Janata Party,608189,9688,617877,48.96
2,ANIL CHOPRA,Indian National Congress,602293,13969,616262,48.83
3,HANUMAN SAHAY,Bahujan Samaj Party,3773,77,3850,0.31
4,RAMSINGH KASANA,Independent,3701,6,3707,0.29
5,DR DASHRATH HINUNIA,Ambedkarite Party of India,2669,12,2681,0.21
6,KAHANVI BOHRA,Independent,1658,53,1711,0.14
7,DR RAM ROOP MEENA ADVOCATE,Independent,1589,15,1604,0.13
8,NEHA SINGH GURJAR,Independent,1378,29,1407,0.11
9,PRAKASH KUMAR SHARMA,Independent,1033,7,1040,0.08
10,AJAY BHAT,Republican Party of India (A),931,17,948,0.08
11,DEVHANS,Independent,924,17,941,0.07
12,DR OM SINGH MEENA SEHARA,Independent,676,58,734,0.06
13,ADITYA PRAKASH SHARMA,Right to Recall Party,650,16,666,0.05
14,YOGI JEETENDRA NATH ADVOCATE,Rashtriya Sawarn Dal,556,6,562,0.04
15,ADVOCATE HARI KISHAN TIWARI,Bheem Tribal Congress,541,4,545,0.04
16,NOTA,None of the Above,7405,114,7519,0.6000000000000001
