S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASHOK KUMAR YADAV,Bharatiya Janata Party,552705,723,553428,53.85
2,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,400909,574,401483,39.07
3,SHIV BODHAN SAHU,Independent,13365,5,13370,1.3
4,BIKASH KUMAR,Bahujan Samaj Party,7197,26,7223,0.7000000000000001
5,PRIYE RANJAN,Independent,7046,4,7050,0.6900000000000001
6,VAIDYANATH YADAV,Peoples Party of India (Democratic),4980,3,4983,0.48
7,SARFARAJ ALAM,Akhil Bhartiya Parivar Party,4620,3,4623,0.45
8,MD WAQUAR SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,4492,6,4498,0.44
9,MOHAN SHARMA,Rashtriya Jansambhavna Party,4460,4,4464,0.43
10,ABU BAKAR RAHMANI,Country Citizen Party,2095,2,2097,0.2
11,UDAY MANDAL,Samata Party,1998,9,2007,0.2
12,KUL BHUSHAN PRASAD,Loktantrik Lok Rajyam Party,1780,3,1783,0.17
13,NOTA,None of the Above,20691,28,20719,2.02
