S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RUCHI VIRA,Samajwadi Party,636733,630,637363,49.67
2,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,530176,1425,531601,41.43
3,MO IRFAN,Bahujan Samaj Party,92116,197,92313,7.19
4,AJAY YADAV,Apna Haq Party,4084,10,4094,0.32
5,MUSHARRAT HUSAIN,Independent,2583,-,2583,0.2
6,SADHNA SINGH,Independent,2292,4,2296,0.18
7,MOHD JAMSHED,Independent,1717,2,1719,0.13
8,ONKAR SINGH,Bharatiya Bahujan Samta Party,1449,10,1459,0.11
9,SHAKIL AHMED,Samata Party,1356,-,1356,0.11
10,HAR KISHORE SINGH,Socialist Unity Centre Of India (COMMUNIST),940,-,940,0.07
11,AMARJEET SINGH JATAV,Independent,937,15,952,0.07
12,GANGARAM SHARMA,Rashtriya Congress(J) Party,629,56,685,0.05
13,NOTA,None of the Above,5807,17,5824,0.45
