S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SANTOSH PANDEY,Bharatiya Janata Party,711439,618,712057,49.25
2,BHUPESH BAGHEL,Indian National Congress,667078,568,667646,46.18
3,A.H. SIDDIQUI,Independent,10737,-,10737,0.74
4,DEVLAL SINHA (SONVANSHI),Bahujan Samaj Party,9659,9,9668,0.67
5,NARAD PRASAD NISHAD,Shakti Sena (Bharat Desh),8029,1,8030,0.56
6,SUKHDEV SINHA,Independent,7998,3,8001,0.55
7,VISHESH DHAMGAYE,Independent,4872,1,4873,0.34
8,BHUVAN SAHU,Independent,4171,3,4174,0.29
9,LALITA KANWAR,Hamar Raj Party,2139,10,2149,0.15
10,ER. BASANT KUMAR MESHRAM,Independent,1818,2,1820,0.13
11,RAMESH RAJPUT,Bhartiya Shakti Chetna Party,1735,2,1737,0.12
12,TRIVENI PADOTI,Independent,1607,6,1613,0.11
13,RAMFAL PATIL,Nyaydharmsabha,1535,2,1537,0.11
14,AJAY PALI,Independent,1114,-,1114,0.08
15,LAKHAN SING TANDAN,Rashtriya Jansabha Party,1056,-,1056,0.07
16,NOTA,None of the Above,9152,401,9553,0.66
