S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SATPAL BRAHAMCHARI,Indian National Congress,546163,2519,548682,48.82
2,MOHAN LAL BADOLI,Bharatiya Janata Party,525069,1797,526866,46.88
3,UMESH KUMAR,Bahujan Samaj Party,12742,80,12822,1.1400000000000001
4,ANOOP SINGH,Indian National Lok Dal,11384,139,11523,1.03
5,BHUPENDER SINGH MALIK,Jannayak Janta Party,7716,104,7820,0.7000000000000001
6,SANT DHARAMVEER CHOTIVALA,Independent,2150,4,2154,0.19
7,RAMESH,Independent,1651,-,1651,0.15
8,NARESH KASHYAP,Aam Aadmi Parivartan Party,1622,36,1658,0.15
9,SATPAL,Independent,1215,2,1217,0.11
10,GAUBHAGAT SUMIT LATHER,Independent,877,5,882,0.08
11,DR. KAMLESH KUMAR SAINI,Independent,863,3,866,0.08
12,ROHTASH,Independent,775,2,777,0.07
13,BALBIR SINGH,Socialist Unity Centre Of India (COMMUNIST),765,3,768,0.07
14,ASHWANI,Independent,694,1,695,0.06
15,SANJAY DASS,Independent,569,3,572,0.05
16,JAGBEER,Independent,521,3,524,0.05
17,SUNIL KUMAR,Rashtriya Garib Dal,456,11,467,0.04
18,RADHEY SHYAM,Peoples Party of India (Democratic),438,3,441,0.04
19,RAKESH,Samata Party,407,3,410,0.04
20,NIRMAL SINGH,Independent,317,1,318,0.03
21,SURENDER SINGH,Independent,295,1,296,0.03
22,RAKESH DHARIWAL,Rashtriya Jatigat Aarakshan Virodhi Party,214,1,215,0.02
23,NOTA,None of the Above,2287,33,2320,0.21
