S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DHARMENDRA YADAV,Samajwadi Party,504837,3402,508239,48.2
2,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party,345725,1479,347204,32.93
3,MASHHOD SABEEHA ANSARI,Bahujan Samaj Party,179189,650,179839,17.05
4,RAVINDRA NATH SHARMA,Moulik Adhikar Party,3038,4,3042,0.29
5,PARAS YADAV,Jan Raajya Party,2489,2,2491,0.24
6,SHASHIDHAR,Independent,2227,5,2232,0.21
7,MAHENDRA NATH YADAV,Moolniwasi Samaj Party,1904,1,1905,0.18
8,VIJAY KUMAR,Independent,1733,2,1735,0.16
9,PANKAJ KUMAR YADAV,Independent,1595,4,1599,0.15
10,NOTA,None of the Above,6211,23,6234,0.59
