S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAHUL SINGH LODHI,Bharatiya Janata Party,708589,1179,709768,65.18
2,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,302828,514,303342,27.86
3,ENGINEER GOVERDHAN RAJ,Bahujan Samaj Party,21379,25,21404,1.97
4,BHAIYA VIJAY PATEL (KURMI) TIRGARH BALE,Bhartiya Shakti Chetna Party,12200,17,12217,1.12
5,MANU SINGH MARAVI,Bharat Adivasi Party,7871,16,7887,0.72
6,RAHUL BHAIYA S/O RAM PRATAP,Independent,6273,12,6285,0.58
7,RAHUL BHAIYA S/O JEEVAN LAL,Independent,5556,5,5561,0.51
8,VEDRAM KURMI,Independent,4054,3,4057,0.37
9,RAJESH SINGH SOYAM,Gondvana Gantantra Party,3172,18,3190,0.29
10,RAKESH KUMAR AHIRWAR,Independent,2044,7,2051,0.19
11,NANDAN KUMAR AHIRWAL,Independent,1848,5,1853,0.17
12,NEELESH SONI,Independent,1277,1,1278,0.12
13,DURGA MOUSI,Independent,1120,4,1124,0.1
14,TARVAR SINGH LODHI,Independent,1092,2,1094,0.1
15,NOTA,None of the Above,7820,13,7833,0.72
