S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AMRINDER SINGH RAJA WARRING,Indian National Congress,321424,800,322224,30.42
2,RAVNEET SINGH BITTU,Bharatiya Janata Party,300927,355,301282,28.45
3,ASHOK PRASHAR PAPPI,Aam Aadmi Party,236620,457,237077,22.38
4,RANJIT SINGH DHILLON,Shiromani Akali Dal,90073,147,90220,8.52
5,KAMALJIT SINGH BRAR,Independent,42462,38,42500,4.01
6,AMRITPAL SINGH CHHANDRAN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),18199,42,18241,1.72
7,DAVINDER SINGH RAMGARHIA,Bahujan Samaj Party,10365,29,10394,0.98
8,NARESH DHINGAAN,Independent,2524,6,2530,0.24
9,RAKESH KUMAR (RICKY),Sunahara Bharat Party,2091,-,2091,0.2
10,ER. BALDEV RAJ KATNA (DEBI),Independent,2086,-,2086,0.2
11,PRITPAL SINGH,Bahujan Dravida Party,1821,3,1824,0.17
12,DR. PALWINDER KAUR,Independent,1766,2,1768,0.17
13,SANJEEV KUMAR (SANJU),Independent,1567,-,1567,0.15
14,RAJIV KUMAR MEHRA,Jan Sewa Driver Party,1516,2,1518,0.14
15,BHUPINDER SINGH,Bharatheeya Jawan Kisan Party,1287,-,1287,0.12
16,BALJIT SINGH,Independent,1137,1,1138,0.11
17,VIPAN KUMAR BATRA,Independent,1041,-,1041,0.1
18,AMANDEEP SINGH,Sehajdhari Sikh Party,981,6,987,0.09
19,PARAMJIT SINGH,Independent,927,-,927,0.09
20,BALVINDER SINGH BITTA,Independent,918,-,918,0.09
21,SIMRANDEEP SINGH,Independent,911,1,912,0.09
22,DEVINDER BHAGRIA,Hindustan Shakti Sena,859,1,860,0.08
23,KANIYA LAL (DR. KISHAN KUMAR),Independent,820,-,820,0.08
24,SUDHIR KUMAR TRIPATHI,Independent,770,-,770,0.07
25,GURDEEP SINGH KAHLON,Independent,738,-,738,0.07
26,DR. DEVINDER SINGH GILL,Aam Lok Party United,693,2,695,0.07
27,KIRPAL SINGH KAPURI,Independent,621,-,621,0.06
28,SANTOSH KUMAR,Bharatiya Inqalab Party,610,-,610,0.06
29,KAMAL PAWAR,Independent,592,-,592,0.06
30,RAVINDER PAL SINGH BABA JI BARGAR WALE,Independent,546,2,548,0.05
31,GURMEET SINGH KHARAY,Independent,516,1,517,0.05
32,RUPINDER KUMAR,Independent,467,-,467,0.04
33,CHANDI,Independent,456,-,456,0.04
34,BALDEV SINGH SUMAN,Independent,450,-,450,0.04
35,JAI - PARKASH JAIN (TITU BANIYA),Independent,419,-,419,0.04
36,SHIVAM YADAV,Global Republican Party,414,1,415,0.04
37,HARVINDER KAUR,Samajik Sangharsh Party,413,6,419,0.04
38,BHOLA SINGH,Independent,411,-,411,0.04
39,DARSHAN SINGH DABA,Nationalist Justice Party,390,-,390,0.04
40,KULDEEP KUMAR SHARMA,Independent,383,-,383,0.04
41,VISHAL KUMAR ARORA,Independent,344,-,344,0.03
42,KARNAIL SINGH,Independent,340,-,340,0.03
43,RAJINDER GHAI,Independent,284,-,284,0.03
44,NOTA,None of the Above,5040,36,5076,0.48
