S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DEEPENDER SINGH HOODA,Indian National Congress,778259,5319,783578,62.76
2,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,435028,3252,438280,35.11
3,RAVINDER,Jannayak Janta Party,6209,41,6250,0.5
4,RAKESH SINGH,Rashtrawadi Janlok Party (Satya),2706,8,2714,0.22
5,BISHAMBAR KUMAR,Independent,2394,-,2394,0.19
6,KALAWATI,Independent,2135,15,2150,0.17
7,PARVEEN KUMAR,Independent,1927,1,1928,0.15
8,UDEVIR,Independent,1530,2,1532,0.12
9,VINOD KUMAR,Peoples Party of India (Democratic),805,4,809,0.06
10,ASHOK KUMAR,Independent,627,2,629,0.05
11,VISHESH BAMEL,Bharatiya Asha Party,613,5,618,0.05
12,JAIKARAN MANDAUTHI,Socialist Unity Centre Of India (COMMUNIST),600,7,607,0.05
13,JAGBIR SINGH,Bharatheeya Jawan Kisan Party,574,19,593,0.05
14,SATISH KUMAR,Independent,524,-,524,0.04
15,SURENDER,Aam Aadmi Parivartan Party,447,23,470,0.04
16,MANISHA,Independent,410,21,431,0.03
17,ARVIND KUMAR SHARMA,Independent,360,7,367,0.03
18,SATISH KUMAR,Ekam Sanatan Bharat Dal,359,4,363,0.03
19,ARVIND,Independent,330,-,330,0.03
20,ADVOCATE ADITYA DHANKHAR,Super Power India Party,275,12,287,0.02
21,MASTER RANDHIR SINGH,Independent,267,2,269,0.02
22,MANJEET,Independent,267,2,269,0.02
23,SANJAY,Independent,210,2,212,0.02
24,YOGESH SHARMA,Independent,190,-,190,0.02
25,VINAY,Independent,156,3,159,0.01
26,LALIT KUMAR,Independent,129,2,131,0.01
27,NOTA,None of the Above,2321,41,2362,0.19
