S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAMASHANKAR RAJBHAR,Samajwadi Party,403616,1856,405472,44.2
2,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,400489,1410,401899,43.81
3,BHIM RAJBHAR,Bahujan Samaj Party,80291,308,80599,8.79
4,JAIBAHADUR ALIAS JAIBAHADUR CHAUHAN,Janta Kranti Party (Rashtravadi),8241,22,8263,0.9
5,SHREENARAYAN MISHRA,Akhil Bhartiya Sarvjan Hit Party,3878,14,3892,0.42
6,SADDAM HUSSAIN,Independent,3210,5,3215,0.35000000000000003
7,SHRIKRISHNA,Independent,2527,5,2532,0.28
8,AMRESH THAKUR,Independent,2147,9,2156,0.24
9,SURYA PRAKASH GAUTAM,Sardar Patel Siddhant Party,1782,3,1785,0.19
10,NOTA,None of the Above,7520,29,7549,0.8200000000000001
