S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. VINOD KUMAR BIND,Bharatiya Janata Party,458877,1105,459982,42.39
2,LALITESHPATI TRIPATHI,All India Trinamool Congress,414131,1779,415910,38.33
3,HARISHANKAR,Bahujan Samaj Party,154718,335,155053,14.29
4,PREMCHAND BIND,Pragatisheel Manav Samaj Party,13655,34,13689,1.26
5,RAJ NARAYAN PATEL,Sardar Patel Siddhant Party,6198,8,6206,0.5700000000000001
6,RAM PRAKASH MISHRA,Rashtriya Samaj Paksha,5266,4,5270,0.49
7,SUSHIL,All India Forward Bloc,5254,7,5261,0.48
8,DR. SHYAMDHAR TIWARI,Independent,4842,6,4848,0.45
9,KRISHNA DEV,Rashtra Uday Party,4590,7,4597,0.42
10,DHIRENDRA KUMAR TIWARI,Independent,2944,4,2948,0.27
11,NOTA,None of the Above,11222,7,11229,1.03
