S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AMAR SINGH,Indian National Congress,331324,1267,332591,34.14
2,GURPREET SINGH GP,Aam Aadmi Party,297439,950,298389,30.63
3,GEJJA RAM,Bharatiya Janata Party,127139,382,127521,13.09
4,BIKRAMJIT SINGH KHALSA,Shiromani Akali Dal,126461,269,126730,13.01
5,RAJ JATINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),43543,101,43644,4.48
6,KULWANT SINGH,Bahujan Samaj Party,20786,106,20892,2.14
7,PREM SINGH MOHANPUR,Independent,3784,8,3792,0.39
8,BAHAL SINGH,Aazad Samaj Party (Kanshi Ram),3097,7,3104,0.32
9,PARAMJIT SINGH,Independent,2159,8,2167,0.22
10,RULDA SINGH,Independent,1971,6,1977,0.2
11,PARKASH PETER,Independent,1463,2,1465,0.15
12,HARJINDER SINGH,Independent,1158,8,1166,0.12
13,KAMALJEET KAUR,Independent,888,11,899,0.09
14,HARGOBIND SINGH,Independent,722,9,731,0.08
15,NOTA,None of the Above,9097,91,9188,0.9400000000000001
