S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,771014,1760,772774,67.75
2,KAMLESH KUMAR,Bahujan Samaj Party,231163,382,231545,20.3
3,R. B. PRAJAPATI (RAJA BHAIYA) EX.I.A.S.,All India Forward Bloc,50033,182,50215,4.4
4,MOHAMMAD IMRAN,Rashtriya Jansambhavna Party,17853,20,17873,1.57
5,PENTER SUNMAN SINGH LODHI,Independent,10005,6,10011,0.88
6,KAPIL GUPTA BHARTIYA,Akhil Bhartiya Parivar Party,7540,24,7564,0.66
7,LAXMI PRASAD,Independent,6752,12,6764,0.59
8,NANDKISHOR,Peoples Party of India (Democratic),6019,8,6027,0.53
9,PANKAJ MAURYA (KUSHWAHA),Gondvana Gantantra Party,4730,10,4740,0.42
10,BITIAYA AHIRWAR,Independent,4018,8,4026,0.35000000000000003
11,FIROJKHAN,Independent,3708,5,3713,0.33
12,GIRAN SINGH,Bhartiya Shakti Chetna Party,3485,7,3492,0.31
13,KESHKALI,Rashtriya Jansanchar Dal,2861,11,2872,0.25
14,PANNA LAL TRIPATHI AD.,Indian Peoples Adhikar Party,2794,3,2797,0.25
15,NOTA,None of the Above,16134,23,16157,1.42
