S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,V K SREEKANDAN,Indian National Congress,418072,3097,421169,40.66
2,A VIJAYARAGHAVAN,Communist Party of India (Marxist),342798,3088,345886,33.39
3,C KRISHNAKUMAR,Bharatiya Janata Party,249568,2210,251778,24.31
4,K T PADMINI,Bahujan Samaj Party,2102,30,2132,0.21
5,ANNA KURIAKOSE,Independent,1416,17,1433,0.14
6,N S K PURAM SASIKUMAR,Independent,1151,26,1177,0.11
7,RAJESH K SON OF VELANKUTTY,Independent,1033,23,1056,0.1
8,RAJESH M SON OF MANI C,Independent,947,6,953,0.09
9,SIDHEEK IRUPPASSERY,Independent,913,26,939,0.09
10,C RAJAMANICKAM,Independent,516,4,520,0.05
11,NOTA,None of the Above,8724,69,8793,0.85
