S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,1047447,2904,1050351,66.19
2,VIKAS UPADHYAY,Indian National Congress,473656,1410,475066,29.94
3,MAMTA RANI SAHU,Bahujan Samaj Party,9201,98,9299,0.59
4,SAVITA SHAILENDRA BANJARE,Shakti Sena (Bharat Desh),8765,3,8768,0.55
5,RADHESHWARI GAIKWAD,Independent,4629,1,4630,0.29
6,SURESH KUMAR NETAM,Hamar Raj Party,3492,7,3499,0.22
7,ANIL MAHOBIA,Right to Recall Party,2914,2,2916,0.18
8,ENGI. LAL BAHADUR YADAV,Gondvana Gantantra Party,2859,6,2865,0.18
9,RAMKRISHNA VERMA,Independent,2182,3,2185,0.14
10,YAKUB KHAN,Independent,2054,-,2054,0.13
11,VISHWAJIT HARODE,Socialist Unity Centre Of India (COMMUNIST),1920,-,1920,0.12
12,AMARNATH CHANDRAKAR,Independent,1608,-,1608,0.1
13,LAKHAMOO RAM TANDON,Rashtriya Jansabha Party,1347,4,1351,0.09
14,YASHUTOSH LAHARE,Ambedkarite Party of India,1312,-,1312,0.08
15,RAJESH DHRUV,Independent,1187,6,1193,0.08
16,BODHAN LAL FARIKAR,Independent,1059,-,1059,0.07
17,DAYA SHANKER NISHAD,Bhartiya Shakti Chetna Party,1051,11,1062,0.07
18,PILARAM ANANT,Sunder Samaj Party,1033,3,1036,0.07
19,ROHIT KUMAR PATIL,Independent,960,-,960,0.06
20,HIRA NAND NAGWANI (ASHOK BHAIYA),Republican Party of India (A),958,2,960,0.06
21,BHANJAN JANGADE (ADHIWAKTA),Bharatiya Bahujan Congress,818,3,821,0.05
22,MO. AMIN,Bhrashtachar Mukti Morcha,765,1,766,0.05
23,MANOJ VERMA,Independent,723,1,724,0.05
24,PITAMBAR JANGDE,Aazad Samaj Party (Kanshi Ram),701,4,705,0.04
25,ASHISH KUMAR TIWARI,Aap Sabki Apni Party,525,3,528,0.03
26,ENGI. BHANU PRATAP TANDE,Independent,500,3,503,0.03
27,MO. IMRAN KHAN,Independent,466,1,467,0.03
28,NEERAJ SAINI PUJARI,Dhoom Sena,434,-,434,0.03
29,SUDHANSHU BHUSHAN,Independent,413,1,414,0.03
30,RAMPRASAD PRAJAPATI,Independent,391,-,391,0.02
31,PRAVIN JAIN,Independent,369,-,369,0.02
32,VINAYAK DHAMGAYE,Independent,349,-,349,0.02
33,NANDNI NAYAK,Independent,336,1,337,0.02
34,PRAVISHANT SALOMAN,Independent,310,-,310,0.02
35,SAYED IRSHAD,Independent,295,-,295,0.02
36,DR. OMPRAKASH SAHU,Independent,291,3,294,0.02
37,MO. NASIR,Independent,254,-,254,0.02
38,NURI KHAN,Independent,252,-,252,0.02
39,NOTA,None of the Above,4414,34,4448,0.28
