S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DILESHWAR KAMAIT,Janata Dal (United),592922,2116,595038,48.33
2,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,422037,3198,425235,34.54
3,BAIDYA NATH MEHTA,Independent,51325,327,51652,4.2
4,YOG NARAYAN SINGH,Independent,27447,7,27454,2.23
5,VINDESHWARI PRASAD,Independent,18450,7,18457,1.5
6,KIRAN DEVI,Bahujan Samaj Party,17961,118,18079,1.47
7,MOHD KALIM KHAN,Rashtriya Jansambhavna Party,14064,14,14078,1.1400000000000001
8,UMESH PRASAD SAH,Jai Hind Party,12971,43,13014,1.06
9,RAJ KUMAR YADAV,Viro Ke Vir Indian Party,10795,11,10806,0.88
10,RAMESH KUMAR ANAND,"Proutist Bloc, India",9439,12,9451,0.77
11,ABDUL MATIN,Independent,7177,17,7194,0.58
12,BAMBAM KUMAR,Independent,7000,6,7006,0.5700000000000001
13,NITISH KUMAR,Independent,5894,21,5915,0.48
14,AJAY KUMAR SAH,Independent,5330,21,5351,0.43
15,SHIV HARI AGRAWAL,Bharat Nirman Party,3770,2,3772,0.31
16,NOTA,None of the Above,18444,168,18612,1.51
