S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SARABJEET SINGH KHALSA,Independent,296922,1140,298062,29.38
2,KARAMJIT SINGH ANMOL,Aam Aadmi Party,226676,1333,228009,22.48
3,AMARJIT KAUR SAHOKE,Indian National Congress,159352,1005,160357,15.81
4,RAJWINDER SINGH DHARAMKOT,Shiromani Akali Dal,137776,475,138251,13.63
5,HANS RAJ HANS,Bharatiya Janata Party,123007,526,123533,12.18
6,GURCHARAN SINGH MANN,Communist Party of India,14935,15,14950,1.47
7,GURBAKSH SINGH CHAUHAN,Bahujan Samaj Party,8129,81,8210,0.81
8,AVTAR SINGH SAHOTA,Independent,4155,5,4160,0.41000000000000003
9,KIKKAR SINGH DHALIWAL,Independent,3514,3,3517,0.35000000000000003
10,KARAM SINGH MALUKA,Independent,2859,3,2862,0.28
11,RUPINDER SINGH KOHARWALA,Nationalist Justice Party,2672,5,2677,0.26
12,BALDEV SINGH GAGRA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2367,28,2395,0.24
13,NIRMAL SINGH RAJEANA,Independent,2287,2,2289,0.23
14,BADAL SINGH BHALOOR,Bhartiya Rashtriya Dal,2027,1,2028,0.2
15,RAJ KUMAR CHAUHAN,Independent,1958,3,1961,0.19
16,OM PARKASH BANKA,Independent,1947,3,1950,0.19
17,CAPTAIN BAHADUR SINGH,Independent,1632,8,1640,0.16
18,MEJOR SINGH BHATTI,Jan Sewa Driver Party,1605,7,1612,0.16
19,SUKHBIR SINGH BABBAL BHATTI,Rashtriya Republican Party,1526,4,1530,0.15
20,GURMEET SINGH,Independent,1419,1,1420,0.14
21,AMRIK SINGH,Independent,1411,3,1414,0.14
22,MANPREET SHANT,Independent,1376,1,1377,0.14
23,PREM LAL,Democratic Bharatiya Samaj Party,1165,-,1165,0.11
24,PARGAT SINGH RAJEANA,Apna Samaj Party,1128,3,1131,0.11
25,JASWANT RAI RAJORA,Independent,1042,5,1047,0.1
26,DR DEV INDER GAGALANI,Republican Party of India,1035,5,1040,0.1
27,PRITAM SINGH,Bahujan Mukti Party,927,12,939,0.09
28,KULWANT KAUR,Sanjhi Virasat Party,785,1,786,0.08
29,NOTA,None of the Above,4077,66,4143,0.41000000000000003
