S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,611894,1131,613025,48.94
2,RAJU DEONATH PARVE,Shiv Sena,535234,1023,536257,42.81
3,SANDIP SAHADEO MESHRAM,Bahujan Samaj Party,26003,95,26098,2.08
4,KISHORE UTTAMRAO GAJBHIYE,Independent,24324,59,24383,1.9500000000000002
5,AJAY BAKARAM CHAVAN,Independent,6021,5,6026,0.48
6,SANVIDHAN G LOKHANDE,Baliraja Party,5810,4,5814,0.46
7,ROSHANI ATUL GAJBHIYE,Gondvana Gantantra Party,5108,29,5137,0.41000000000000003
8,GOWARDHAN DEORAO KUMBHARE,Viro Ke Vir Indian Party,3750,16,3766,0.30000000000000004
9,ARVIND SHIVAJI TANDEKAR,Independent,3208,7,3215,0.26
10,SANJAY VASANTRAO BORKAR,Maharashtra Vikas Aghadi,1983,9,1992,0.16
11,SHANKAR CHINTAMAN CHAHANDE,Vanchit Bahujan Aaghadi,1858,26,1884,0.15
12,ADV BHIMRAO SHENDE,Bahujan Republican Socialist Party,1811,7,1818,0.15
13,GAIKWAD MANJUSHA SACHIN,Akhil Bhartiya Parivar Party,1760,13,1773,0.14
14,ASHISH BHAURAO SARODE,Bhim Sena,1600,20,1620,0.13
15,PRAMOD SHRIPAT KHOBRAGADE,Ambedkarite Party of India,1337,3,1340,0.11
16,UMESH RAJU KHADSE,Rashtra Samarpan Party,1223,6,1229,0.1
17,SIDDHARTH GADIJI PATIL,Peoples Party of India (Democratic),975,2,977,0.08
18,PREMKUMAR DASHRATH GAJBHARE,Independent,921,4,925,0.07
19,RIDDHESHWAR ANANDRAO BELEY,Republican Party of India (A),908,5,913,0.07
20,BHOJRAJ TUKARAM SARODE,Jay Vidarbha Party,881,7,888,0.07
21,VILAS SHRIPAT KHADSE,Independent,857,3,860,0.07
22,SUBHASH LOKHANDE,Independent,849,1,850,0.07
23,KARTIK GENDLALJI DOKE,Independent,844,3,847,0.07
24,ADV ULHAS SHALIKRAM DUPARE,Independent,780,1,781,0.06
25,LAROKAR SURESH PUNDLIK,Independent,693,5,698,0.06
26,SUNIL UTTAMRAO SALVE,Independent,649,2,651,0.05
27,GOWARDHAN NAMDEO SOMDEVE,Independent,509,2,511,0.04
28,VILAS GANESH ZODAPE,Independent,402,5,407,0.03
29,NOTA,None of the Above,7769,58,7827,0.62
